,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
2472,Aboubakar Sidibé,fr FRA,DF,Clermont Foot,fr Ligue 1,25,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,ae5b93a0
2473,Alassane Sidibe,ci CIV,MF,Atalanta,it Serie A,19,2002,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches,f944979d
2474,Djibril Sidibé,fr FRA,DF,Monaco,fr Ligue 1,29,1992,10.5,6,0,0,17,9,0,23,16,13,0,1,0,52,14,4,77.8,Matches,4c5b714f
2475,Kaj Sierhuis,nl NED,FW,Reims,fr Ligue 1,23,1998,0.9,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,25.0,Matches,9c2b1f11
2476,Francisco Sierralta,cl CHI,DF,Watford,eng Premier League,24,1997,4.7,0,0,0,4,3,0,0,6,3,0,0,1,17,15,1,93.8,Matches,0f933743
2477,Arnór Sigurðsson,is ISL,FWMF,Venezia,it Serie A,22,1999,2.0,0,0,0,2,1,0,3,1,1,0,0,0,12,0,7,0.0,Matches,f209b81e
2478,Kiliann Sildillia,fr FRA,DFMF,Freiburg,de Bundesliga,19,2002,1.9,1,0,0,1,1,0,5,2,3,0,0,0,16,1,4,20.0,Matches,313254a3
2479,Adrien Silva,pt POR,MF,Sampdoria,it Serie A,32,1989,12.0,3,1,0,13,17,0,6,23,12,0,0,0,97,11,11,50.0,Matches,d6f88a1d
2480,André Silva,pt POR,FW,RB Leipzig,de Bundesliga,25,1995,23.1,1,0,0,20,28,16,7,2,9,0,0,0,66,37,65,36.3,Matches,3effaa34
2481,Bernardo Silva,pt POR,MFFW,Manchester City,eng Premier League,26,1994,31.7,6,0,0,30,33,9,58,20,29,1,0,0,156,7,15,31.8,Matches,3eb22ec9
2482,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,24,1997,29.6,5,0,0,19,22,2,127,27,30,1,0,0,205,13,27,32.5,Matches,30af8b93
2483,David Silva,es ESP,MF,Real Sociedad,es La Liga,35,1986,19.1,4,1,0,23,25,3,30,7,17,2,1,0,91,15,11,57.7,Matches,e2716bd0
2484,Fábio Silva,pt POR,FW,Wolves,eng Premier League,19,2002,6.4,0,0,0,13,7,4,2,1,2,0,0,0,18,9,27,25.0,Matches,e7aa9d7c
2485,Gabriel Silva,br BRA,DFMF,Saint-Étienne,fr Ligue 1,30,1991,7.9,1,0,0,9,16,0,7,18,7,0,0,0,25,6,15,28.6,Matches,4914ed4a
2486,Jonathan Silva,ar ARG,DFFW,Getafe,es La Liga,27,1994,2.5,4,0,0,10,5,0,10,3,8,0,0,0,17,1,2,33.3,Matches,f2308b33
2487,Rui Silva,pt POR,GK,Betis,es La Liga,27,1994,21.8,2,0,0,1,3,0,0,1,0,0,1,0,29,3,0,100.0,Matches,ea83bfa6
2488,Thiago Silva,br BRA,DF,Chelsea,eng Premier League,36,1984,29.4,2,0,0,12,12,1,2,44,21,1,0,0,214,56,31,64.4,Matches,86e7deaf
2489,Marco Silvestri,it ITA,GK,Udinese,it Serie A,30,1991,35.0,1,0,0,1,6,0,0,1,0,0,1,0,27,7,0,100.0,Matches,0d422df7
2490,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,21,2000,22.3,5,0,0,25,34,0,6,40,27,0,0,0,159,63,21,75.0,Matches,fcb27134
2491,Giovanni Simeone,ar ARG,FW,Hellas Verona,it Serie A,26,1995,29.5,8,0,0,56,58,34,26,6,15,1,0,0,81,60,108,35.7,Matches,343c0d52
2492,Giovanni Simeone,ar ARG,FW,Cagliari,it Serie A,26,1995,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches,343c0d52
2493,Giuliano Simeone,ar ARG,MF,Atlético Madrid,es La Liga,18,2002,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,100.0,Matches,a6536561
2494,Ellis Simms,eng ENG,FW,Everton,eng Premier League,20,2001,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,33.3,Matches,26d3b5be
2495,Moses Simon,ng NGA,FWMF,Nantes,fr Ligue 1,26,1995,25.9,3,0,0,14,26,4,207,12,11,0,0,0,119,15,22,40.5,Matches,5f3eaaf5
2496,Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,34.0,3,0,0,0,1,0,0,1,0,0,0,1,44,7,1,87.5,Matches,5dcf3e90
2497,Xavi Simons,nl NED,MFFW,Paris S-G,fr Ligue 1,18,2003,1.5,1,0,0,2,4,0,1,0,1,0,0,0,8,2,1,66.7,Matches,da4d670f
2498,Wilfried Singo,ci CIV,DF,Torino,it Serie A,20,2000,29.0,5,1,0,43,59,8,80,23,35,0,0,0,170,42,33,56.0,Matches,8b609c34
2499,Daley Sinkgraven,nl NED,DF,Leverkusen,de Bundesliga,26,1995,3.9,0,0,0,0,3,0,7,3,2,0,0,0,22,3,7,30.0,Matches,73000a79
2500,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,33,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,0d8a37c2
2501,Hugo Siquet,be BEL,DF,Freiburg,de Bundesliga,19,2002,0.2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,Matches,c6cf860f
2502,Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,34,1987,37.0,0,0,0,0,3,0,0,0,1,0,0,1,28,5,0,100.0,Matches,10dc46f0
2503,Issouf Sissokho,ml MLI,MF,Bordeaux,fr Ligue 1,19,2002,4.8,3,1,1,12,7,0,6,7,8,0,0,0,34,1,5,16.7,Matches,792a9d41
2504,Ibrahima Sissoko,fr FRA,MFDF,Strasbourg,fr Ligue 1,23,1997,25.6,6,0,0,60,28,0,21,35,23,1,0,0,169,59,29,67.0,Matches,0f8418aa
2505,Moussa Sissoko,fr FRA,MF,Watford,eng Premier League,31,1989,35.8,5,0,0,35,11,2,26,30,27,0,0,0,241,64,52,55.2,Matches,2acd49b9
2506,Nelson Sissoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,24,1997,0.5,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,Matches,12bd0579
2507,Sambou Sissoko,fr FRA,MFDF,Reims,fr Ligue 1,22,1999,2.0,0,0,0,1,4,0,1,2,6,0,0,0,12,4,2,66.7,Matches,e4bb1f08
2508,Antonio Sivera,es ESP,GK,Alavés,es La Liga,24,1996,3.1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,9970da54
2509,Ellyes Skhiri,tn TUN,MF,Köln,de Bundesliga,26,1995,20.2,3,0,0,18,21,2,6,37,33,0,0,0,157,34,23,59.6,Matches,c2211709
2510,Oliver Skipp,eng ENG,MF,Tottenham,eng Premier League,20,2000,15.0,6,0,0,16,16,1,6,12,19,0,0,0,77,12,10,54.5,Matches,6250083a
2511,Leo Skiri Østigård,no NOR,DF,Genoa,it Serie A,21,1999,13.0,4,2,1,15,6,3,0,8,9,0,0,0,85,63,19,76.8,Matches,b35a7399
2512,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30,1991,36.0,4,0,0,2,5,0,0,0,0,0,2,0,40,15,1,93.8,Matches,ab4449d6
2513,Andreas Skov Olsen,dk DEN,FWDF,Bologna,it Serie A,21,1999,8.3,0,0,0,4,15,0,37,3,10,0,0,0,48,4,10,28.6,Matches,c50cee19
2514,Robert Skov,dk DEN,FWDF,Hoffenheim,de Bundesliga,25,1996,4.1,1,0,0,6,5,0,18,3,2,0,0,0,20,3,5,37.5,Matches,ff98492b
2515,Milan Škriniar,sk SVK,DF,Inter,it Serie A,26,1995,35.0,3,0,0,43,23,2,3,25,27,0,1,0,160,51,52,49.5,Matches,30f5ffa9
2516,Islam Slimani,dz ALG,FW,Lyon,fr Ligue 1,33,1988,6.4,3,0,0,6,5,11,1,2,2,0,0,0,18,11,10,52.4,Matches,ffec9769
2517,William Smallbone,ie IRL,MFFW,Southampton,eng Premier League,21,2000,1.5,0,0,0,2,1,0,4,2,4,0,0,0,12,1,3,25.0,Matches,5e105217
2518,Chris Smalling,eng ENG,DF,Roma,it Serie A,31,1989,23.2,0,0,0,9,17,0,2,26,23,0,0,1,106,49,13,79.0,Matches,b6964eb6
2519,Emile Smith Rowe,eng ENG,MFFW,Arsenal,eng Premier League,21,2000,21.3,1,0,0,5,21,2,45,15,7,0,0,0,105,7,18,28.0,Matches,17695062
2520,Cédric Soares,pt POR,DF,Arsenal,eng Premier League,29,1991,16.5,3,0,0,15,6,3,100,16,26,0,1,0,79,12,27,30.8,Matches,839c14e1
2521,Danilo Soares,br BRA,DF,Bochum,de Bundesliga,29,1991,28.5,4,0,0,34,42,0,66,62,71,0,2,0,287,47,30,61.0,Matches,c05f2f8c
2522,Rubén Sobrino,es ESP,MF,Valencia,es La Liga,29,1992,0.2,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,100.0,Matches,19b776e9
2523,Rubén Sobrino,es ESP,FWMF,Cádiz,es La Liga,29,1992,20.7,4,0,0,46,33,4,14,21,17,0,0,0,107,38,55,40.9,Matches,19b776e9
2524,Alex Sola,es ESP,DFFW,Real Sociedad,es La Liga,22,1999,0.5,0,0,0,0,2,0,0,2,1,0,0,0,4,0,1,0.0,Matches,5fa714d5
2525,Augusto Solari,ar ARG,MFDF,Celta Vigo,es La Liga,29,1992,7.9,5,0,0,23,11,1,49,7,12,0,0,0,65,4,10,28.6,Matches,3ca6106c
2526,Roberto Soldado,es ESP,FW,Levante,es La Liga,36,1985,7.4,7,2,1,9,5,9,1,1,1,0,0,0,8,6,18,25.0,Matches,9d66fbe3
2527,Carlos Soler,es ESP,MF,Valencia,es La Liga,24,1997,27.5,4,0,0,21,46,2,147,14,19,0,0,0,138,12,17,41.4,Matches,fed17f5a
2528,Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32,1988,33.0,2,0,0,0,7,0,0,3,0,0,0,0,73,8,0,100.0,Matches,420c18a1
2529,Son,es ESP,DF,Levante,es La Liga,27,1994,21.9,5,1,0,21,14,3,45,19,18,1,0,0,146,10,19,34.5,Matches,037dbd30
2530,Brandon Soppy,fr FRA,DFMF,Udinese,it Serie A,19,2002,8.6,4,0,0,23,33,0,13,5,9,0,0,0,47,6,13,31.6,Matches,28f66c2e
2531,David Soria,es ESP,GK,Getafe,es La Liga,28,1993,37.9,4,0,0,1,3,0,0,0,0,0,1,0,45,14,0,100.0,Matches,8f8c6934
2532,Roberto Soriano,it ITA,MF,Bologna,it Serie A,30,1991,29.1,6,2,1,49,47,3,34,22,30,0,1,0,139,24,46,34.3,Matches,9d4c45d6
2533,Alberto Soro,es ESP,MFFW,Granada,es La Liga,22,1999,6.4,0,0,0,5,5,2,15,3,10,0,0,0,37,10,19,34.5,Matches,452c3055
2534,Borna Sosa,hr CRO,DFFW,Stuttgart,de Bundesliga,23,1998,27.8,4,0,0,13,26,0,239,26,12,0,0,0,149,20,19,51.3,Matches,af0d79a9
2535,Hugo Sotelo,es ESP,FW,Celta Vigo,es La Liga,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,3aa74860
2536,Florian Sotoca,fr FRA,FWMF,Lens,fr Ligue 1,30,1990,27.6,7,0,0,37,34,8,48,25,19,0,0,0,116,89,48,65.0,Matches,7a42d0df
2537,Riccardo Sottil,it ITA,FW,Fiorentina,it Serie A,22,1999,13.8,4,1,1,15,40,7,47,1,4,0,0,0,32,7,13,35.0,Matches,94816803
2538,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,26,1995,34.0,3,0,0,39,18,4,13,52,32,0,0,0,176,133,141,48.5,Matches,6613c819
2539,Matìas Soulé,ar ARG,FW,Juventus,it Serie A,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,c13ddd3e
2540,Sambou Soumano,sn SEN,FWMF,Lorient,fr Ligue 1,20,2001,5.0,1,0,0,13,10,7,4,1,1,0,0,0,14,18,20,47.4,Matches,7cc00776
2541,Adama Soumaoro,fr FRA,DF,Bologna,it Serie A,29,1992,25.2,6,2,0,24,16,1,2,34,5,0,1,1,108,45,16,73.8,Matches,7b075c75
2542,Boubakary Soumaré,fr FRA,MF,Leicester City,eng Premier League,22,1999,12.2,0,0,0,16,17,0,4,14,13,0,0,0,62,27,11,71.1,Matches,ae59b359
2543,Arnaud Souquet,fr FRA,DF,Montpellier,fr Ligue 1,29,1992,25.9,4,0,0,28,24,0,77,34,35,0,1,0,144,42,33,56.0,Matches,4e0afc5d
2544,Djibril Sow,ch SUI,MF,Eint Frankfurt,de Bundesliga,24,1997,26.8,5,0,0,42,38,0,9,50,33,0,1,0,199,27,31,46.6,Matches,4c6facae
2545,Saidou Sow,gn GUI,DF,Saint-Étienne,fr Ligue 1,19,2002,11.0,2,0,0,9,4,0,3,23,17,0,0,0,74,28,32,46.7,Matches,f6b94e8d
2546,Çağlar Söyüncü,tr TUR,DF,Leicester City,eng Premier League,25,1996,27.7,5,0,0,24,14,1,5,32,30,0,2,0,164,92,48,65.7,Matches,21166ff4
2547,Leonardo Spinazzola,it ITA,DF,Roma,it Serie A,28,1993,1.4,1,0,0,1,0,0,4,0,0,0,0,0,8,0,1,0.0,Matches,3626daea
2548,Marco Sportiello,it ITA,GK,Atalanta,it Serie A,29,1992,5.0,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100.0,Matches,ac4003af
2549,Tony Springett,eng ENG,MFFW,Norwich City,eng Premier League,18,2002,1.6,1,0,0,1,4,0,2,0,1,0,0,0,6,1,6,14.3,Matches,35be8087
2550,Jerry St. Juste,nl NED,DF,Mainz 05,de Bundesliga,24,1996,6.7,0,0,0,14,8,0,6,14,9,0,0,0,41,24,15,61.5,Matches,90339309
2551,Anton Stach,de GER,MF,Mainz 05,de Bundesliga,22,1998,20.7,6,0,0,35,43,0,53,51,19,0,0,0,176,52,20,72.2,Matches,0f59a7bf
2552,Kostas Stafylidis,gr GRE,DFMF,Bochum,de Bundesliga,27,1993,15.4,3,1,0,12,19,1,65,31,27,0,0,0,83,24,24,50.0,Matches,861e0116
2553,Luca Stanga,it ITA,DF,Milan,it Serie A,19,2002,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,2967bcd0
2554,Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,21,2000,7.2,1,0,0,4,1,0,10,11,10,0,0,0,54,7,6,53.8,Matches,7ed08d5c
2555,Niklas Stark,de GER,DF,Hertha BSC,de Bundesliga,26,1995,22.6,3,0,0,19,20,1,0,36,16,0,1,0,115,49,33,59.8,Matches,aad48be9
2556,Jason Steele,eng ENG,GK,Brighton,eng Premier League,30,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,28300a16
2557,Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,28,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,a8a3d139
2558,Renato Steffen,ch SUI,FWMF,Wolfsburg,de Bundesliga,29,1991,10.7,6,0,0,19,15,0,25,13,16,0,0,0,57,17,19,47.2,Matches,dd669209
2559,Zack Steffen,us USA,GK,Manchester City,eng Premier League,26,1995,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches,42130443
2560,Calvin Stengs,nl NED,MF,Nice,fr Ligue 1,22,1998,11.9,1,0,0,15,7,2,41,8,7,0,1,0,57,2,12,14.3,Matches,8f7e6783
2561,Pascal Stenzel,de GER,DF,Stuttgart,de Bundesliga,25,1996,10.0,1,0,0,13,4,0,18,11,11,0,0,0,84,13,12,52.0,Matches,99f7e9aa
2562,Dale Stephens,eng ENG,MF,Burnley,eng Premier League,32,1989,1.4,1,0,0,5,0,0,0,1,1,0,0,0,7,0,2,0.0,Matches,653ee42d
2563,Jack Stephens,eng ENG,DF,Southampton,eng Premier League,27,1994,9.0,3,0,0,8,2,0,0,19,12,0,0,0,68,13,12,52.0,Matches,6adbc307
2564,Raheem Sterling,eng ENG,FW,Manchester City,eng Premier League,26,1994,23.6,1,0,0,19,37,10,50,12,10,2,0,0,86,4,18,18.2,Matches,b400bde0
2565,Finley Stevens,wls WAL,DF,Brentford,eng Premier League,18,2003,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,100.0,Matches,7e003182
2566,Angelo Stiller,de GER,MF,Hoffenheim,de Bundesliga,20,2001,18.8,1,0,0,25,13,1,17,9,17,0,0,0,116,26,26,50.0,Matches,3b1ed320
2567,Lars Stindl,de GER,MFFW,M'Gladbach,de Bundesliga,32,1988,18.1,10,0,0,30,16,5,14,10,15,0,0,0,104,13,32,28.9,Matches,7cd6badb
2568,Riccardo Stivanello,it ITA,DF,Bologna,it Serie A,17,2004,0.5,0,0,0,0,1,0,0,0,1,0,0,0,4,1,1,50.0,Matches,90e1d9dc
2569,Kevin Stöger,at AUT,MF,Mainz 05,de Bundesliga,27,1993,4.7,3,0,0,9,10,0,31,5,5,0,0,0,55,2,2,50.0,Matches,e5649a78
2570,Petar Stojanović,si SVN,DF,Empoli,it Serie A,25,1995,30.4,11,1,1,45,22,2,68,27,63,0,2,0,203,14,19,42.4,Matches,13b44b02
2571,John Stones,eng ENG,DF,Manchester City,eng Premier League,27,1994,12.4,0,0,0,3,6,0,3,11,3,0,0,0,52,47,10,82.5,Matches,5eecec3d
2572,Thomas Strakosha,al ALB,GK,Lazio,it Serie A,26,1995,23.0,2,0,0,2,0,0,0,0,0,0,1,0,27,6,0,100.0,Matches,339fe0e8
2573,Stefan Strandberg,no NOR,DF,Salernitana,it Serie A,31,1990,10.4,2,1,1,8,2,1,4,9,8,0,1,1,57,30,14,68.2,Matches,6d5e62b0
2574,Dávid Strelec,sk SVK,FWMF,Spezia,it Serie A,20,2001,5.6,0,0,0,4,6,2,5,2,4,0,0,0,31,11,14,44.0,Matches,2cb9486d
2575,Tobias Strobl,de GER,MFDF,Augsburg,de Bundesliga,31,1990,3.6,1,0,0,6,2,0,2,7,3,0,0,0,24,7,4,63.6,Matches,17780d2b
2576,Kevin Strootman,nl NED,MF,Cagliari,it Serie A,31,1990,7.1,4,0,0,10,10,0,2,10,4,0,1,0,42,5,6,45.5,Matches,ef2e5e1a
2577,Pascal Struijk,nl NED,DFMF,Leeds United,eng Premier League,21,1999,22.8,6,1,0,25,8,1,0,33,39,0,0,0,161,40,39,50.6,Matches,f4d296e4
2578,Jens Stryger Larsen,dk DEN,DF,Udinese,it Serie A,30,1991,7.6,0,0,0,3,3,1,20,4,2,0,0,1,22,4,6,40.0,Matches,f91e81c9
2579,Leo Štulac,si SVN,MF,Empoli,it Serie A,26,1994,9.3,1,0,0,7,16,0,25,8,6,0,0,0,49,5,6,45.5,Matches,92948398
2580,Stefano Sturaro,it ITA,MF,Genoa,it Serie A,28,1993,19.6,12,0,0,53,37,4,37,15,26,0,0,0,96,50,50,50.0,Matches,2334478a
2581,Damián Suárez,uy URU,DF,Getafe,es La Liga,33,1988,30.1,13,0,0,46,33,1,130,31,47,0,0,0,193,25,29,46.3,Matches,ba5004e1
2582,Denis Suárez,es ESP,MF,Celta Vigo,es La Liga,27,1994,31.3,4,0,0,47,39,1,129,16,29,0,1,0,186,13,21,38.2,Matches,12c50af5
2583,Luis Suárez,uy URU,FW,Atlético Madrid,es La Liga,34,1987,20.4,7,0,0,20,26,12,6,1,5,2,1,0,42,19,24,44.2,Matches,a6154613
2584,Mario Suárez,es ESP,DF,Rayo Vallecano,es La Liga,34,1987,7.9,2,0,0,17,5,0,0,7,4,0,1,0,55,29,13,69.0,Matches,7106f0a0
2585,Isaac Success,ng NGA,FWMF,Udinese,it Serie A,25,1996,10.1,1,1,0,24,39,5,6,2,2,0,1,0,26,16,36,30.8,Matches,f573a8bf
2586,Niklas Süle,de GER,DF,Bayern Munich,de Bundesliga,25,1995,20.4,2,0,0,10,1,1,6,28,23,0,0,0,158,40,12,76.9,Matches,e33c06cf
2587,Kamaldeen Sulemana,gh GHA,MFFW,Rennes,fr Ligue 1,19,2002,11.3,3,0,0,19,14,3,28,4,12,0,0,0,45,5,3,62.5,Matches,a62f8bf1
2588,Crysencio Summerville,nl NED,MFFW,Leeds United,eng Premier League,19,2001,1.4,0,0,0,1,1,0,3,2,3,0,0,0,11,0,6,0.0,Matches,df04eb4b
2589,Vladyslav Supriaha,ua UKR,FW,Sampdoria,it Serie A,21,2000,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,73affbb6
2590,Suso,es ESP,FW,Sevilla,es La Liga,27,1993,4.3,0,0,0,1,7,2,12,0,3,0,0,0,13,0,2,0.0,Matches,4e219ad2
2591,Bosko Sutalo,hr CRO,DF,Hellas Verona,it Serie A,21,2000,10.2,0,0,0,12,9,1,10,17,13,0,0,0,81,20,26,43.5,Matches,1d0bb7e4
2592,Mattias Svanberg,se SWE,MF,Bologna,it Serie A,22,1999,28.5,7,0,0,37,63,0,50,28,15,0,0,0,132,22,33,40.0,Matches,92d83c27
2593,Michael Svoboda,at AUT,DF,Venezia,it Serie A,22,1998,13.7,2,1,0,9,4,0,1,10,17,0,2,0,98,26,27,49.1,Matches,8abd174d
2594,Abdoulaye Sylla,gn GUI,DF,Nantes,fr Ligue 1,21,2000,1.7,1,0,0,5,0,0,1,1,4,0,1,0,7,2,2,50.0,Matches,2aeb43f1
2595,Mamadou Sylla,sn SEN,FWMF,Alavés,es La Liga,27,1994,4.4,1,0,0,8,6,6,11,1,2,0,0,0,5,11,13,45.8,Matches,e5ec95f8
2596,Mamadou Sylla,sn SEN,FW,Rayo Vallecano,es La Liga,27,1994,2.8,2,0,0,8,4,2,5,4,1,0,0,0,12,14,8,63.6,Matches,e5ec95f8
2597,Ádám Szalai,hu HUN,FW,Mainz 05,de Bundesliga,33,1987,2.9,1,0,0,10,4,5,0,0,2,0,0,0,11,8,11,42.1,Matches,53e07d0b
2598,Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,31,1990,33.0,2,0,0,2,4,0,0,0,1,0,2,0,29,9,0,100.0,Matches,01b8a2b2
2599,Dominik Szoboszlai,hu HUN,MFFW,RB Leipzig,de Bundesliga,20,2000,17.1,2,0,0,15,23,6,91,10,12,0,0,0,101,17,19,47.2,Matches,934e1968
2600,Jakob Sørensen,dk DEN,MFDF,Norwich City,eng Premier League,23,1998,6.7,0,0,0,7,1,0,2,10,11,0,1,0,48,11,9,55.0,Matches,953c30b0
2601,Alexander Sørloth,no NOR,FW,Real Sociedad,es La Liga,25,1995,19.6,2,0,0,29,14,12,9,4,7,2,0,0,61,51,49,51.0,Matches,e92cd3f7
2602,Tachi,es ESP,DF,Alavés,es La Liga,23,1997,2.7,1,0,0,3,4,0,2,1,3,0,0,0,13,4,4,50.0,Matches,8b625720
2603,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,25,1996,32.0,4,0,0,19,10,1,2,43,18,0,0,0,184,96,29,76.8,Matches,bd142efb
2604,Waniss Taibi,fr FRA,MFFW,Angers,fr Ligue 1,19,2002,1.5,2,0,0,6,1,0,0,1,7,0,0,0,9,3,2,60.0,Matches,95192fe4
2605,Flavien Tait,fr FRA,MF,Rennes,fr Ligue 1,28,1993,23.6,3,0,0,30,48,3,9,19,19,1,0,0,150,8,14,36.4,Matches,a0f9b535
2606,Adrien Tameze,cm CMR,MFDF,Hellas Verona,it Serie A,27,1994,28.6,4,0,0,33,34,2,31,52,29,0,0,0,233,61,55,52.6,Matches,8da74c05
2607,Japhet Tanganga,eng ENG,DF,Tottenham,eng Premier League,22,1999,8.2,4,1,1,19,8,1,11,9,8,0,0,0,24,15,9,62.5,Matches,e9971f2d
2608,Renato Tapia,pe PER,MF,Celta Vigo,es La Liga,26,1995,15.7,10,0,0,35,26,0,3,28,31,0,0,0,107,30,23,56.6,Matches,34269bdf
2609,Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,22,1999,20.2,1,0,0,19,6,1,0,29,17,0,1,0,171,42,16,72.4,Matches,a73c8f95
2610,Florian Tardieu,fr FRA,MF,Troyes,fr Ligue 1,29,1992,29.2,6,0,0,19,37,0,135,42,25,0,0,0,223,28,20,58.3,Matches,ed39121c
2611,Matt Targett,eng ENG,DF,Aston Villa,eng Premier League,25,1995,15.9,2,0,0,15,11,0,59,23,18,0,1,1,73,32,14,69.6,Matches,e514ab62
2612,Matt Targett,eng ENG,DF,Newcastle Utd,eng Premier League,25,1995,16.0,1,0,0,9,12,1,76,25,26,0,0,0,72,19,12,61.3,Matches,e514ab62
2613,Oussama Targhalline,ma MAR,FW,Marseille,fr Ligue 1,19,2002,0.1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,,Matches,abd56820
2614,James Tarkowski,eng ENG,DF,Burnley,eng Premier League,28,1992,34.5,11,0,0,30,19,2,1,48,45,0,0,1,171,153,62,71.2,Matches,15ea812b
2615,Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,35,1986,6.0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches,b056e3da
2616,Niklas Tauer,de GER,DFMF,Mainz 05,de Bundesliga,20,2001,5.4,1,1,0,9,4,0,1,9,9,0,1,0,34,8,13,38.1,Matches,27270af4
2617,Nuno Tavares,pt POR,DF,Arsenal,eng Premier League,21,2000,13.1,2,0,0,23,13,1,40,9,14,0,1,0,68,23,22,51.1,Matches,a65c844b
2618,Charlie Taylor,eng ENG,DF,Burnley,eng Premier League,27,1993,30.3,3,0,0,17,43,0,104,58,26,0,0,0,183,58,30,65.9,Matches,cc2d7ad5
2619,Loum Tchaouna,fr FRA,FWMF,Rennes,fr Ligue 1,17,2003,1.0,0,0,0,0,1,2,4,2,1,0,0,0,7,2,0,100.0,Matches,a3c8b4d3
2620,Warren Tchimbembé,cg CGO,MF,Metz,fr Ligue 1,23,1998,2.3,0,0,0,2,3,0,2,2,1,0,0,0,16,1,1,50.0,Matches,93b8f9f4
2621,Aurélien Tchouaméni,fr FRA,MF,Monaco,fr Ligue 1,21,2000,32.5,11,1,1,51,59,2,17,101,45,0,1,0,262,77,31,71.3,Matches,4f255115
2622,Mathys Tel,fr FRA,FWMF,Rennes,fr Ligue 1,16,2005,0.6,0,0,0,5,0,0,6,1,1,0,0,0,6,0,2,0.0,Matches,829aa60c
2623,Jordan Tell,gp GLP,FW,Clermont Foot,fr Ligue 1,24,1997,3.2,1,0,0,3,3,0,2,0,5,0,0,0,13,5,7,41.7,Matches,4f093689
2624,Nathan Tella,eng ENG,MFFW,Southampton,eng Premier League,22,1999,8.9,2,0,0,17,22,3,12,6,9,0,0,0,54,6,18,25.0,Matches,f1e94cd6
2625,Alex Telles,br BRA,DF,Manchester Utd,eng Premier League,28,1992,18.4,1,0,0,23,9,1,127,26,27,0,2,0,99,30,24,55.6,Matches,e73c9bb2
2626,Cristian Tello,es ESP,FW,Betis,es La Liga,29,1991,9.1,2,0,0,9,5,4,16,10,11,0,0,0,53,5,5,50.0,Matches,72a99e38
2627,Nahuel Tenaglia,ar ARG,DF,Alavés,es La Liga,25,1996,11.9,2,0,0,8,8,0,24,26,27,0,1,0,67,23,19,54.8,Matches,66654daa
2628,Marc Tenas,es ESP,FWMF,Alavés,es La Liga,20,2001,0.6,2,0,0,3,1,0,2,0,1,0,0,0,4,1,0,100.0,Matches,1c5d79e2
